V1,V2,V3,V4,V5,V6,V7,V8
,Sham Shui Po,,,Sham Shui Po,17 May 1982,SSP,
,Prince Edward,,     Kwun Tong Line,Yau Tsim Mong,10 May 1982,PRE,
,Mong Kokformerly Argyle,,     Kwun Tong Line,Yau Tsim Mong,31 December 1979,MOK,[h]
,Yau Ma Teiformerly Waterloo,,     Kwun Tong Line,Yau Tsim Mong,31 December 1979,YMT,
,Jordan,,,Yau Tsim Mong,31 December 1979,JOR,
,Tsim Sha Tsui,,Transfer to      West Rail Line,via East Tsim Sha Tsui Station,Yau Tsim Mong,31 December 1979,TST
,,Admiralty,,     Island Line     South Island Line,Central and Western,12 February 1980,ADM
,,Centralformerly Chater ,,     Island LineTransfer to      Tung Chung Line and      Airport Express,via Hong Kong Station,Central and Western,12 February 1980
CEN,,Livery,Name,Photo,Connections,District,Opened
Code,,Kennedy Town,,,Central and Western,28 December 2014,KET
,HKU,,,Central and Western,28 December 2014,HKU,
Sai Ying Pun,,,Central and Western,29 March 2015,SYP,,Sheung Wan
,,Central and Western,23 May 1986,SHW,,Central,
     Tsuen Wan LineTransfer to      Tung Chung Line and      Airport Express,via Hong Kong Station,Central and Western,23 May 1986,CEN,,Admiralty,
     Tsuen Wan Line     South Island Line,Central and Western,31 May 1985,ADM,,Wan Chai,,
Wan Chai,31 May 1985,WAC,,Causeway Bay,,,Wan Chai
31 May 1985,CAB,,Tin Hau,,,Wan Chai,31 May 1985
TIH,,Fortress Hill,,,Eastern,31 May 1985,FOH
,North Point,,     Tseung Kwan O Line,Eastern,31 May 1985,NOP,
Quarry Bay,,     Tseung Kwan O Line,Eastern,31 May 1985,QUB,,Tai Koo
,,Eastern,31 May 1985,TAK,,Sai Wan Ho,
,Eastern,31 May 1985,SWH,,Shau Kei Wan,,
Eastern,31 May 1985,SKW,,Heng Fa Chuen,,,Eastern
31 May 1985,HFC,,Chai Wan,,,Eastern,31 May 1985
CHW,Livery,Name,Photo,Connections,District,Opened,Code
Notes,,Tung Chung,,Ngong Ping 360,Islands,21 June 1998,TUC
[l],,Sunny Bay,,     Disneyland Resort Line,Tsuen Wan,1 June 2005,SUN
,,Tsing Yi,,     Airport Express,Kwai Tsing,21 June 1998,TSY
[l],,Lai King,,     Tsuen Wan Line,Kwai Tsing,21 June 1998,LAK
[l],,Nam Cheong,,     West Rail Line,Sham Shui Po,20 December 2003,NAC
,,Olympic,,,Yau Tsim Mong,21 June 1998,OLY
[l],,Kowloon,,     Airport Express,Yau Tsim Mong,21 June 1998,KOW
[l][m],,Hong Kong,,     Airport ExpressTransfer to      Tsuen Wan Line and      Island Line,via Central Station,Central and Western,21 June 1998
HOK,[l],Livery,Name,Photo,Connections,District,Opened
Code,Notes,,AsiaWorld–Expo,,,Islands,20 December 2005
AWE,,,Airport,,,Islands,6 July 1998
AIR,,,Tsing Yi,,     Tung Chung Line,Kwai Tsing,21 June 1998
TSY,[l],,Kowloon,,     Tung Chung Line,Yau Tsim Mong,21 June 1998
KOW,[l][m],,Hong Kong,,     Tung Chung LineTransfer to      Tsuen Wan Line and      Island Line,via Central Station,Central and Western
21 June 1998,HOK,[l],Livery,Name,Photo,Connections,District
Opened,Code,,Po Lam,,,Sai Kung,18 August 2002
POA,,Hang Hau,,,Sai Kung,18 August 2002,HAH
,LOHAS Park,,,Sai Kung,26 July 2009,LHP,
Tseung Kwan O,,,Sai Kung,18 August 2002,TKO,,Tiu Keng Leng
,     Kwun Tong Line,Sai Kung,18 August 2002,TIK,,Yau Tong,
     Kwun Tong Line,Kwun Tong,4 August 2002,YAT,,Quarry Bay,,     Island Line
Eastern,6 August 1989,QUB,,North Point,,     Island Line,Eastern
27 September 2001,NOP,Livery,Name,Photo,Connections,District,Opened
Code,Notes,,Tuen Mun,,Transfer to      Light Rail  505   507   751 ,at Tuen Mun Stop,Tuen Mun
20 December 2003,TUM,,,Siu Hong,,Transfer to      Light Rail  505   610   614   614P   615   615P   751 ,at Siu Hong Stop
Tuen Mun,20 December 2003,SIH,,,Tin Shui Wai,,Transfer to      Light Rail  705   706   751   751P 
at Tin Shui Wai Stop,Yuen Long,20 December 2003,TIS,,,Long Ping,
,Yuen Long,20 December 2003,LOP,,,Yuen Long,
Transfer to      Light Rail  610   614   615   761P ,at Yuen Long Stop,Yuen Long,20 December 2003,YUL,,,Kam Sheung Road
,,Yuen Long,20 December 2003,KSR,[n],,Tsuen Wan West
,,Tsuen Wan,20 December 2003,TWW,[o],,Mei Foo
,     Tsuen Wan Line,Sham Shui Po,20 December 2003,MEF,,,Nam Cheong
,     Tung Chung Line,Sham Shui Po,20 December 2003,NAC,,,Austin
